state,sex,year,name
, F ,1960.0,Casey
IL,F,1962.0,Mary
IL, F ,1947.0,patricia
IL,M,1947.0, Casey 
IL,M,2004.0,Robert
IL,M,1949.0,John
IL,F,1946.0,Mary
 IL ,F,1974.0,Casey
IL, F ,1961.0,Linda
, M ,1957.0,James
IL,F,1943.0,Patricia
 IL ,F,1950.0, Linda 
IL,M,1964.0,Michael
 IL ,M,1985.0,Alex
IL,M,1912.0,John
IL,M,1989.0,john
IL, M ,2001.0,james
IL,M,1965.0,Michael
IL,M,1986.0,Michael
IL,F,1955.0,Jennifer
IL,M,1940.0,Casey
IL,M,1943.0,Michael
IL,M,1952.0,Patricia
IL,F,1942.0,Mary
IL,,1936.0,Michael
IL,,1982.0,Robert
IL,F,2006.0,Jordan
 IL ,F,1956.0,Robert
 IL ,M,1950.0,Taylor
IL,M,1955.0,michael
IL,F,1985.0,Taylor
IL,M,2004.0, Michael 
 IL , M ,1962.0,Taylor
IL,F,1931.0,linda
IL,M,1945.0,Robert
IL,M,1967.0,Jordan
IL,F,1955.0,Taylor
IL,M,2011.0,Michael
IL,M,1917.0,Jordan
IL,,1968.0, Jennifer 
IL,M,1912.0,James
IL,,1953.0,John
IL,M,1997.0,Alex
IL, F ,1921.0,Patricia
IL,F,2004.0,Alex
IL,M,1936.0,Jordan
IL,,2015.0,Patricia
IL,F,2002.0,Mary
IL,M,1978.0,James
IL,F,1979.0,Alex
 IL ,F,1916.0,Patricia
 IL ,M,1917.0,John
IL,F,1971.0,Alex
IL,F,1992.0,
IL, F ,1995.0,Jordan
IL,M,2018.0,Alex
 IL , F ,1966.0,Jordan
IL,F,,Jordan
IL,F,1923.0,Alex
IL,F,1985.0,Jordan
IL,F,1948.0,Taylor
IL,F,1968.0,alex
IL,M,1963.0,Jordan
IL,F,1947.0,Jordan
IL,M,1959.0,
IL,F,2003.0,Casey
IL,M,1929.0,casey
IL,F,1994.0,Taylor
IL,M,1999.0,Casey
IL, M ,2007.0,jennifer
IL,F,1944.0,Linda
IL, M ,1958.0,Alex
IL, F ,1934.0,Jennifer
IL,M,1951.0,James
 IL ,F,1981.0,Taylor
 IL ,F,2013.0,Taylor
 IL ,F,2005.0,Patricia
IL,M,1990.0,John
IL,F,1957.0, Jennifer 
IL,F,1996.0,Casey
IL,F,1942.0,Jennifer
IL,M,1918.0,Robert
IL,M,1912.0,Taylor
IL,M,1955.0,James
IL,F,2006.0,Jennifer
IL,F,1942.0,
IL,M,2013.0,James
 IL ,M,1994.0,John
IL,M,1924.0,John
IL, F ,1986.0,Jennifer
IL,F,,Mary
IL,M,1955.0,John
IL,F,1939.0,Taylor
,F,1955.0,Casey
IL,M,1997.0,Michael
IL,M,2017.0,Patricia
 IL ,F,1971.0,Jennifer
IL,F,1940.0,Jennifer
IL,F,2007.0,Linda
IL,M,1951.0,Casey
IL,M,, Taylor 
 IL ,M,1913.0,Michael
 IL , F ,1968.0,Mary
IL,M,1957.0,Taylor
IL,F,1939.0,Jennifer
IL,M,1987.0,Jordan
IL,M,1968.0,Michael
IL,F,1961.0,Alex
IL,M,1996.0,James
IL,M,1998.0,john
IL,M,1939.0,James
,M,1923.0,James
IL,M,1917.0,Robert
IL,F,1987.0,Patricia
IL,F,1972.0,Alex
IL,F,1954.0,Patricia
IL,M,2016.0, Taylor 
 IL ,F,1985.0,Alex
IL,F,1913.0,Linda
,F,1985.0,Patricia
IL,M,1950.0,Jordan
IL,F,2010.0,Casey
IL,F,2016.0,Linda
IL,M,1942.0,Taylor
IL,M,1962.0,Michael
IL,M,1988.0,Casey
IL,M,2000.0,casey
IL,M,1953.0,James
IL,F,2010.0,Jennifer
IL,F,,Casey
IL,F,1997.0,Taylor
IL,,2003.0,Casey
IL, M ,1966.0,Alex
IL,M,1992.0,Taylor
IL,F,1996.0,Alex
IL, F ,1957.0,Linda
IL,M,2017.0,Casey
IL,F,2014.0,Patricia
,F,1983.0,Taylor
IL,F,1983.0,Casey
 IL ,M,2007.0,Taylor
IL,F,1927.0,Alex
 IL ,F,2015.0,Jennifer
IL,M,1912.0,James
IL,F,1970.0,Jennifer
IL, M ,1942.0,Robert
 IL ,M,1999.0,John
IL,F,1985.0,mary
 IL ,M,1932.0,Michael
IL,M,2000.0,alex
IL,F,1939.0,Mary
IL,F,2002.0,Linda
IL,F,1999.0,Casey
 IL ,M,1962.0,Alex
IL,F,,Linda
,F,1952.0,Casey
IL,M,1920.0,Alex
,M,1996.0,Taylor
IL,F,2012.0,Linda
IL,M,2009.0,Jordan
IL,F,1991.0,Robert
IL,F,,Jennifer
IL,F,1930.0,Patricia
IL, F ,2014.0,Jordan
IL,M,1931.0,Michael
IL,F,1977.0, Taylor 
IL,F,1927.0,Linda
IL,M,2018.0,Taylor
,M,1980.0,James
IL,M,1970.0,Michael
IL, F ,1983.0,Jennifer
IL,F,2009.0,Casey
IL,F,1982.0,Casey
IL, M ,1975.0,James
IL,F,1979.0,Taylor
IL,F,1946.0,Jennifer
IL,M,1989.0,jennifer
IL,F,1978.0,Patricia
IL,M,1992.0,James
IL,M,1995.0,Alex
IL,M,1966.0,Jennifer
IL,M,1998.0,john
IL,M,1981.0, Jordan 
 IL ,M,1967.0,Michael
IL,F,,casey
IL,F,1972.0,Jennifer
IL,M,2002.0,Taylor
IL,F,1991.0,Jordan
IL,F,2000.0,Alex
IL,M,2012.0,Taylor
IL,F,1926.0,Jordan
IL,M,1923.0,Michael
IL,M,1980.0,Taylor
IL,F,1973.0, Patricia 
IL,M,1953.0,Jordan
IL,F,1970.0,James
IL, F ,1990.0,Taylor
IL,M,1989.0,Taylor
 IL ,F,1977.0,
IL,M,,Robert
IL,F,1968.0,alex
IL,M,1920.0,Casey
IL,F,1995.0,Taylor
IL,F,1986.0,taylor
IL,F,2016.0,robert
IL,M,1943.0,Robert
 IL ,F,1978.0, Linda 
IL,F,1965.0,Casey
IL, M ,1990.0,Robert
IL,M,1994.0,Robert
 IL ,F,1928.0,Linda
IL,F,1961.0,Jennifer
IL,F,1992.0,Patricia
IL, F ,2017.0,Alex
IL,,2018.0,Robert
IL,F,1945.0,Casey
IL,F,1945.0,taylor
IL,M,1992.0,Michael
IL,F,1986.0,Linda
IL,F,1937.0,Jordan
IL,F,1997.0,Patricia
IL,M,1931.0,Jordan
IL,F,2022.0,Alex
,F,2011.0, Patricia 
IL, F ,1941.0,Linda
IL,M,1937.0,Michael
IL,M,1986.0,Alex
 IL ,F,1958.0,Mary
IL,M,2004.0, Michael 
IL,F,1987.0,Jordan
IL,F,2003.0,Mary
IL,M,1985.0,Casey
IL,M,1987.0,James
IL, M ,1915.0,James
IL,F,1987.0,Jennifer
IL,F,2018.0,Jordan
IL,M,2022.0,Taylor
IL,F,,Mary
IL, M ,1984.0,Jordan
IL,F,1931.0,
IL,M,1943.0,James
IL,M,1976.0,Michael
 IL , F ,2018.0,Mary
IL,M,1977.0,Jordan
IL,M,,Robert
IL,F,1960.0,Alex
IL,F,2001.0,Jordan
IL,F,1994.0,Jordan
IL,M,,Michael
IL,F,1967.0,Alex
IL,F,1934.0,Patricia
IL,M,1971.0,casey
IL,M,1959.0,
IL,M,1940.0,Alex
IL,F,1968.0,Linda
IL,F,1980.0,Casey
,F,,casey
IL,M,1995.0,Jordan
IL,F,2016.0,Jennifer
IL,M,1997.0,John
IL, M ,1966.0,James
IL,M,2015.0,Taylor
 IL ,F,2001.0,Jennifer
IL,F,2011.0,Casey
IL, F ,1943.0,Taylor
 IL ,,1947.0,Robert
IL,F,1925.0,Linda
IL,M,1995.0,Michael
IL,M,2011.0,Casey
IL,F,1957.0,Taylor
IL,M,2009.0,Michael
IL,F,1949.0,Jennifer
IL,M,1972.0,Taylor
 IL ,M,1968.0,Taylor
IL,M,1999.0,James
IL, M ,1960.0,Casey
